Time,Human Count
5,0
10,0
15,0
20,1
25,1
30,1
35,2
40,0
45,2
50,2
55,3
60,3
65,3
70,3
75,3
80,3
85,2
90,3
95,3
100,2
105,2
110,2
115,2
120,2
125,2
130,2
135,2
140,2
145,2
150,2
155,2
160,2
165,2
170,2
175,2
180,1
185,1
190,0
195,0
200,0
205,0
210,0
215,0
220,0
225,0
230,1
235,1
240,1
245,1
250,1
255,1
260,1
265,2
270,2
275,2
280,2
285,2
290,3
295,3
300,3
305,0
310,3
315,0
320,0
325,3
330,2
335,2
340,2
345,2
350,2
355,2
360,0
365,0
370,0
375,2
380,0
385,2
390,2
395,2
400,2
405,2
410,2
415,2
420,2
425,2
430,2
435,3
440,3
445,3
450,3
455,0
460,3
465,0
470,3
475,3
480,3
485,3
490,2
495,2
500,3
505,3
510,3
515,0
520,3
525,0
530,3
535,3
540,0
545,0
550,3
555,3
560,2
565,2
570,2
575,2
580,2
585,0
590,2
595,2
600,2
605,2
610,2
615,3
620,3
625,3
630,3
635,3
640,3
645,2
650,3
655,3
660,2
665,0
670,2
675,2
680,2
685,1
690,1
695,1
700,1
705,0
710,0
715,0
720,1
725,1
730,1
735,1
740,1
745,1
750,0
755,1
760,1
765,2
770,2
775,2
780,2
785,2
790,2
795,1
800,2
805,3
810,3
815,3
820,3
825,3
830,4
835,4
840,4
845,4
850,4
855,4
860,4
865,4
870,4
875,4
880,4
885,5
890,6
895,6
900,7
905,7
910,6
915,6
920,6
925,6
930,6
935,6
940,6
945,6
950,6
955,7
960,7
965,8
970,7
975,7
980,6
985,6
990,6
995,5
1000,6
1005,6
1010,7
1015,6
1020,6
1025,6
1030,6
1035,6
1040,6
1045,6
1050,5
1055,5
1060,5
1065,4
1070,5
1075,6
1080,5
1085,5
1090,5
1095,5
1100,5
1105,3
1110,3
1115,3
1120,3
1125,4
1130,5
1135,5
1140,4
1145,4
1150,4
1155,4
1160,4
1165,4
1170,4
1175,4
1180,4
1185,4
1190,4
1195,4
1200,4
1205,4
1210,4
1215,4
1220,4
1225,4
1230,4
1235,3
1240,3
1245,4
1250,4
1255,4
1260,4
1265,4
1270,5
1275,5
1280,4
1285,4
1290,4
1295,4
1300,4
1305,4
1310,4
1315,4
1320,4
1325,4
1330,5
1335,5
1340,4
1345,4
1350,4
1355,4
1360,4
1365,5
1370,4
1375,4
1380,3
1385,3
1390,4
1395,4
1400,5
1405,5
1410,5
1415,4
1420,0
1425,4
1430,3
1435,3
1440,2
1445,2
1450,1
1455,1
1460,2
1465,3
1470,3
1475,3
1480,3
1485,3
1490,3
1495,5
1500,5
1505,5
1510,5
1515,6
1520,6
1525,5
1530,5
1535,5
1540,5
1545,5
1550,4
1555,4
1560,4
1565,4
1570,4
1575,4
1580,0
1585,0
1590,0
1595,0
1600,0
1605,0
1610,3
1615,1
1620,1
1625,2
1630,2
1635,1
1640,2
1645,2
1650,2
1655,2
1660,0
1665,2
1670,1
1675,0
1680,2
1685,0
1690,0
1695,0
1700,0
1705,3
1710,3
1715,3
1720,0
1725,0
1730,0
1735,0
1740,3
1745,0
1750,0
1755,0
1760,0
1765,3
1770,2
1775,0
1780,0
1785,2
1790,2
1795,1
1800,1
1805,1
1810,0
1815,1
