Track ID,Entry time,Exit Time,Movement Tracks
5,45,150,"[array([226, 333]), array([225, 333]), array([225, 334]), array([225, 333]), array([224, 333]), array([223, 333])]"
4,25,220,"[array([457, 363]), array([455, 365]), array([452, 368]), array([449, 374]), array([447, 375]), array([446, 380]), array([447, 386]), array([448, 393]), array([451, 397]), array([454, 401]), array([459, 407]), array([467, 408]), array([475, 419]), array([485, 421]), array([496, 427]), array([511, 434]), array([526, 437])]"
3,10,250,"[array([554, 394]), array([555, 393]), array([554, 394]), array([554, 394]), array([552, 393]), array([550, 392]), array([547, 391]), array([547, 392]), array([547, 393]), array([546, 394]), array([546, 394]), array([549, 396]), array([547, 396]), array([548, 398]), array([549, 397]), array([547, 397]), array([546, 397])]"
25,140,260,"[array([454, 381]), array([468, 380]), array([485, 382]), array([501, 371]), array([518, 369])]"
41,220,400,"[array([687, 314]), array([691, 315]), array([702, 313]), array([711, 310]), array([735, 302]), array([741, 298]), array([764, 290]), array([771, 286]), array([778, 284]), array([786, 282])]"
55,280,715,"[array([602, 362]), array([601, 363]), array([601, 364]), array([606, 362]), array([607, 359]), array([607, 363]), array([607, 364]), array([607, 364]), array([594, 345]), array([605, 349]), array([602, 345]), array([602, 345]), array([601, 339]), array([598, 325]), array([600, 315]), array([600, 315]), array([601, 310]), array([602, 311]), array([602, 310]), array([606, 309]), array([606, 309]), array([607, 311])]"
61,425,755,"[array([234, 315]), array([234, 314]), array([232, 310]), array([232, 304]), array([220, 301]), array([230, 304]), array([225, 286]), array([224, 281]), array([224, 279]), array([224, 276]), array([224, 273]), array([224, 272]), array([229, 271]), array([236, 265]), array([237, 265]), array([237, 266]), array([239, 266])]"
52,255,800,"[array([556, 388]), array([555, 389]), array([556, 388]), array([556, 388]), array([556, 388]), array([556, 387]), array([555, 387]), array([557, 387]), array([557, 388]), array([554, 386]), array([554, 384]), array([557, 384]), array([557, 384]), array([556, 383]), array([556, 383]), array([544, 383]), array([544, 383]), array([548, 382]), array([558, 382]), array([543, 381]), array([559, 379]), array([558, 369]), array([558, 369]), array([560, 368]), array([559, 368]), array([557, 364]), array([557, 358]), array([557, 358]), array([557, 354]), array([556, 353]), array([555, 352]), array([555, 348]), array([555, 339]), array([555, 339]), array([555, 338]), array([554, 338]), array([553, 338]), array([555, 335]), array([556, 335]), array([556, 334]), array([557, 334]), array([558, 334]), array([560, 332]), array([562, 333]), array([559, 332]), array([558, 332]), array([561, 331]), array([594, 351])]"
90,745,845,"[array([875, 329]), array([855, 324]), array([838, 319]), array([823, 312]), array([810, 306])]"
96,790,955,"[array([763, 288]), array([756, 287]), array([749, 282]), array([738, 277]), array([732, 277]), array([727, 274]), array([721, 274]), array([710, 271]), array([705, 271]), array([699, 269]), array([693, 268]), array([687, 265]), array([663, 265]), array([656, 264])]"
92,755,960,"[array([514, 349]), array([514, 351]), array([503, 349]), array([491, 348]), array([483, 346]), array([482, 340]), array([476, 342]), array([472, 338]), array([465, 344]), array([459, 340]), array([457, 335]), array([452, 340]), array([449, 340]), array([444, 335]), array([439, 329]), array([434, 335]), array([431, 337]), array([426, 338]), array([418, 338]), array([412, 336]), array([401, 329]), array([394, 324]), array([377, 327]), array([370, 323]), array([357, 317]), array([342, 318])]"
114,880,1020,"[array([849, 294]), array([839, 292]), array([830, 287]), array([822, 285]), array([814, 281]), array([807, 279]), array([802, 274]), array([797, 273]), array([792, 269]), array([789, 265]), array([789, 263]), array([789, 259]), array([789, 257])]"
120,895,1030,"[array([233, 277]), array([232, 275]), array([232, 278]), array([231, 283]), array([232, 282]), array([230, 285]), array([230, 286]), array([229, 284])]"
139,945,1065,"[array([794, 255]), array([795, 253]), array([799, 252]), array([804, 250]), array([817, 244]), array([828, 238])]"
97,795,1090,"[array([563, 328]), array([564, 330]), array([562, 331]), array([559, 334]), array([559, 334]), array([559, 336]), array([563, 341]), array([563, 341]), array([560, 339]), array([559, 342]), array([548, 345]), array([552, 345]), array([556, 347]), array([555, 349]), array([554, 350]), array([553, 350]), array([555, 350]), array([552, 353]), array([525, 345])]"
100,820,1130,"[array([474, 248]), array([477, 247]), array([478, 248]), array([480, 246]), array([481, 246]), array([480, 244]), array([480, 246]), array([499, 242]), array([499, 244]), array([501, 246]), array([503, 251]), array([504, 256]), array([504, 253]), array([505, 248]), array([506, 254]), array([506, 253]), array([530, 256]), array([531, 255]), array([532, 255]), array([534, 253]), array([536, 255]), array([544, 253]), array([546, 252])]"
111,870,1155,"[array([1017,  401]), array([997, 402]), array([976, 395]), array([958, 393]), array([941, 390]), array([923, 388]), array([814, 379]), array([762, 378]), array([749, 372]), array([713, 371]), array([694, 367]), array([683, 367]), array([665, 366]), array([643, 366]), array([546, 348]), array([491, 341]), array([477, 339]), array([461, 338]), array([448, 334]), array([430, 338]), array([410, 340]), array([395, 340]), array([373, 336]), array([295, 328])]"
140,955,1210,"[array([795, 311]), array([785, 310]), array([778, 305]), array([771, 302]), array([765, 299]), array([760, 297]), array([757, 295]), array([753, 292]), array([750, 289]), array([749, 287]), array([747, 285]), array([745, 283]), array([743, 281]), array([743, 279]), array([744, 277]), array([743, 276]), array([743, 272]), array([742, 270]), array([741, 268]), array([740, 266]), array([739, 265]), array([736, 260]), array([735, 260]), array([734, 257]), array([720, 242])]"
149,1100,1240,"[array([228, 280]), array([228, 278]), array([228, 277]), array([225, 263])]"
150,1180,1330,"[array([601, 312]), array([601, 311]), array([602, 312]), array([602, 312]), array([602, 312]), array([602, 310]), array([602, 310]), array([602, 312]), array([602, 312]), array([602, 317]), array([602, 316])]"
153,1300,1390,"[array([508, 245]), array([505, 244]), array([503, 246])]"
152,1260,1425,"[array([211, 265]), array([214, 263]), array([220, 262]), array([222, 263]), array([230, 271]), array([230, 275]), array([232, 276]), array([248, 267])]"
146,1030,1435,"[array([554, 351]), array([553, 350]), array([553, 350]), array([554, 350]), array([555, 350]), array([555, 350]), array([555, 349]), array([555, 349]), array([555, 349]), array([554, 347]), array([552, 343]), array([554, 342]), array([554, 341]), array([552, 340]), array([553, 338]), array([553, 337]), array([553, 336]), array([553, 337]), array([555, 336]), array([555, 334]), array([554, 334]), array([555, 334]), array([554, 334]), array([554, 335]), array([554, 335]), array([554, 335]), array([555, 335]), array([555, 336]), array([555, 336]), array([554, 336]), array([554, 336]), array([554, 335]), array([554, 336]), array([555, 336]), array([554, 337]), array([554, 338]), array([554, 340]), array([554, 340]), array([553, 339]), array([553, 340]), array([555, 342]), array([552, 346]), array([552, 347]), array([553, 347]), array([556, 348]), array([556, 348]), array([558, 349]), array([557, 349])]"
118,890,1470,"[array([888, 263]), array([892, 263]), array([892, 263]), array([891, 262]), array([890, 262]), array([890, 263]), array([885, 263]), array([885, 264]), array([884, 264]), array([883, 268]), array([882, 270]), array([882, 269]), array([881, 270]), array([885, 263]), array([882, 266]), array([882, 266]), array([881, 265]), array([881, 263]), array([858, 267]), array([845, 264]), array([832, 260]), array([830, 259]), array([822, 259]), array([818, 258]), array([813, 256]), array([804, 256]), array([799, 254]), array([790, 252]), array([788, 251]), array([785, 249]), array([781, 248]), array([777, 246]), array([771, 245]), array([768, 245]), array([763, 245]), array([761, 244]), array([758, 244]), array([756, 243]), array([751, 243]), array([743, 243]), array([741, 243]), array([735, 242]), array([735, 242]), array([732, 242]), array([720, 242]), array([718, 242]), array([702, 245]), array([680, 251]), array([668, 250]), array([649, 249])]"
138,945,1480,"[array([899, 377]), array([898, 379]), array([898, 379]), array([898, 379]), array([894, 380]), array([894, 380]), array([894, 380]), array([894, 380]), array([895, 380]), array([895, 379]), array([895, 380]), array([895, 379]), array([895, 379]), array([897, 376]), array([897, 376]), array([898, 375]), array([898, 374]), array([898, 373]), array([896, 371]), array([896, 370]), array([895, 370]), array([895, 369]), array([895, 368]), array([896, 368]), array([894, 366]), array([895, 364]), array([895, 365]), array([895, 364]), array([895, 364]), array([895, 364]), array([895, 364]), array([896, 364]), array([897, 366]), array([897, 369]), array([897, 371]), array([898, 371]), array([898, 372]), array([898, 374]), array([897, 376]), array([897, 376]), array([897, 376]), array([898, 378]), array([898, 379]), array([898, 380]), array([898, 381]), array([898, 382]), array([898, 381]), array([898, 382]), array([899, 382]), array([899, 381]), array([899, 382]), array([899, 382]), array([899, 382]), array([898, 382]), array([898, 382]), array([898, 382]), array([898, 382]), array([898, 382]), array([898, 382])]"
164,1485,1575,"[array([450, 253]), array([449, 253]), array([448, 253])]"
165,1485,1630,"[array([890, 391]), array([888, 392]), array([888, 391]), array([888, 388]), array([886, 389]), array([885, 390]), array([884, 390]), array([883, 391])]"
166,1485,1665,"[array([545, 345]), array([546, 346]), array([546, 345]), array([540, 345]), array([540, 342]), array([538, 340]), array([538, 341]), array([537, 340]), array([537, 337]), array([541, 332])]"
